MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	2048	256	2	2	0.842812	0.713437	0.99875	0.848667	0.00125	0.151094	0.020781	2.818253	207.90918	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=2048__seed=2__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	4	0	0.810937	0.715469	0.998906	0.82051	0.001094	0.179219	0.025937	2.806743	252.182129	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=2048__seed=0__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	4	1	0.835781	0.716562	0.998594	0.842042	0.001406	0.157812	0.024375	2.785997	207.90918	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=2048__seed=1__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	4	2	0.841719	0.724688	0.998906	0.845313	0.001094	0.154531	0.019062	2.807624	207.90918	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=2048__seed=2__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	1	0	0.89875	0.831094	1	0.901406	0	0.098594	0.012188	3.54732	456.733887	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=4096__seed=0__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	1	1	0.900781	0.8325	1	0.904531	0	0.095469	0.013125	3.611204	340.670898	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=4096__seed=1__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	1	2	0.897031	0.846406	1	0.903438	0	0.096562	0.014219	3.447316	340.670898	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=4096__seed=2__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	2	0	0.866563	0.772813	1	0.8725	0	0.1275	0.018906	3.586417	456.733887	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=4096__seed=0__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	2	1	0.873906	0.774531	1	0.877969	0	0.122031	0.015625	3.655352	340.670898	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=4096__seed=1__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	2	2	0.865	0.788125	1	0.871406	0	0.128594	0.019219	3.55371	340.670898	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=4096__seed=2__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	4	0	0.854375	0.722187	1	0.857187	0	0.142813	0.017031	3.553567	456.733887	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=4096__seed=0__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	4	1	0.858281	0.721406	1	0.865	0	0.135	0.022344	3.493827	340.670898	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=4096__seed=1__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	32	4	2	0.848125	0.736406	1	0.857656	0	0.142344	0.021094	3.582915	340.670898	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=4096__seed=2__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	64	1	0	0.859688	0.744687	1	0.861094	0	0.138906	0.015312	3.615908	456.733398	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=4096__seed=0__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	64	1	1	0.859219	0.772344	0.999844	0.865615	0.000156	0.134375	0.02125	3.552645	340.670898	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=4096__seed=1__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	64	1	2	0.857656	0.776563	0.999687	0.864656	0.000313	0.135313	0.020625	3.582976	340.670898	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=4096__seed=2__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	4096	64	2	0	0.850625	0.727344	0.999844	0.856219	0.000156	0.14375	0.018906	3.641549	456.73291	runs/20260331_043036__step2_base_r2_d64/model=rft_base__L=4096__seed=0__decoys=64__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
